Full labels	Examples
Seek Strategy	So what should you do next?
Guiding Student Focus	Can you calculate ... ?
Recall Relevant Information	Can you reread the question and tell me what is ... ?
Asking for Explanation	Why do you think you need to add these numbers?
Seeking Self Correction	Are you sure you need to add here?
Perturbing the Question	How would things change if they had ... items instead?
Seeking World Knowledge	How do you calculate the perimeter of a square?
Revealing Strategy	You need to add ...to ...to get your answer.
Revealing Answer	No, he had ... items.
Greeting/Fairwell	Hi ... , how are you doing with the word problem? Good Job! Is there anything else I can help with?
General inquiry	Can you go walk me through your solution?
