Labels	Definition	Examples	Frequency (%)
Open.Demand.Fact	Demanding factual information at the beginning of a conversation or when introducing a new topic.	What’s Allenby doing these days?	2.7
Open.Demand.Opinion	Demanding judgment or evaluative information from the interlocutor at the beginning of a conversation or when introducing a new topic.	Do we need Allenby in this conversation?	1.1
Open.Give.Fact	Providing factual information at the beginning of a conversation or when introducing a new topic.	You met his sister.	1.8
Open.Command	Making a request, an invitation or command to start a dialog or discussion of a new topic.	Could you tell me about your wedding?	1.1
Open.Attend	These are usually greetings.	Hey, David!	1.6
React.Rejoinder.Support.Track.Probe	Requesting a confirmation of the information necessary to make clear the previous speaker's statement.	Because Roman lives in Denning Road also?	1.9
React.Rejoinder.Support.Track.Clarify	Asking a question to get additional information on the current topic of the conversation. Requesting to clarify the information already mentioned in the dialog.	What, before bridge?	12.0
React.Rejoinder.Support.Track.Confirm	Asking for a confirmation of the information received.	David: Well, he rang Roman, he rang Roman a week ago.Nick: Did he?	1.6
Sustain.Continue.Prolong.Extend	Adding supplementary or contradictory information to the previous statement. Used only when the speaker remains the same as in the previous utterance.	Just making sure you don’t miss the boat. I put it out on Monday mornings. I hear them. I hate trucks.	21.8
Sustain.Continue.Prolong.Enhance	Adding details to the previous statement, adding information about time, place, reason, etc. Used only when the speaker remains the same as in the previous utterance.	"Nor for much longer.
We’re too messy for him."	5.1
Sustain.Continue.Prolong.Elaborate	Clarifying / rephrasing the previous statement or giving examples to it. Used only when the speaker remains the same as in the previous utterance.	Yeah but I don’t like people... um... I don’t want to be INVOLVED with people.	7.9
React.Respond.Support.Reply.Affirm	A positive answer to a question or confirmation of the information provided. Yes/its synonyms or affirmation.	Nick: He went to London.Fay: He did.	3.7
React.Respond.Support.Reply.Acknowledge	Indicating knowledge or understanding of the information provided.	I know. I see. Oh yea.	1.1
React.Respond.Support.Reply.Agree	Agreement with the information provided. In most cases, the information that the speaker agrees with is new to him. Yes/its synonyms or affirmation.	Yes. Right.	3.8
React.Respond.Support.Develop.Extend	Adding supplementary or contradictory information to the previous statement.	"David: That’s what the cleaner — your cleaner lady cleaned my place thought
Nick: She won’t come back to our place."	8.6
React.Respond.Confront.Reply.Disagree	Negative answer to a question or denial of a statement. No, negative sentence.	David: Is he in London? Nick: No.	2.0
Sustain.Continue.Command	Making a request, an invitation or command to start a dialog or discussion of a new topic.	Could you tell me about your wedding?	0.0
React.Respond.Support.Register	A manifestation of emotions or a display of attention to the interlocutor.	Yeah. Right. Hmm...	6.0
React.Respond.Support.Reply.Accept	Expressing gratitude.	Thank you!	1.2
React.Rejoinder.Support.Response.Resolve	The response provides the information requested in the question.	Fran: Oh what is it called?Brad: PhD in Science.	8.7
React.Respond.Command	Making a request, an invitation or command to start a dialog or discussion of a new topic.	Could you tell me about your wedding?	0.0
React.Rejoinder.Confront.Challenge.Counter	Dismiss addressee’s right to his/her position	You don’t understand, Nick.	1.2
