dialog_id	Utterance_Index	speaker	Annotations_gold	DamslActTag	text
3942	20	B	Acknowledge (Backchannel)	b	((Right)) <<faint>>.
2631	198	B	Acknowledge (Backchannel)	b	# Yeah. #
2959	11	B	Response Acknowledgement	bk	Okay.
2663	54	B	Yes answers	ny	Yeah,
2926	44	B	Acknowledge (Backchannel)	b	Yeah.
3231	35	A	Uninterpretable	%	but, uh, so, you know, through the summer, -
2226	27	A	Statement-non-opinion	sd	and they're all spiritually,
3151	129	B	Statement-non-opinion	sd	I thought that was kind of interesting # too. #
3425	18	B	Acknowledge (Backchannel)	b	Yeah.
3524	22	B	Statement-non-opinion	sd	I have, uh, two married, two almo-, and then two almost married
2642	93	A	Acknowledge (Backchannel)	b	Yeah.
2921	114	B	Acknowledge (Backchannel)	b	uh-huh.
2838	32	A	Statement-non-opinion	sd	he said that it, it was better not to have, -
2800	44	B	Acknowledge (Backchannel)	b	Uh-huh.
2854	109	A	Statement-non-opinion	sd	# Uh, # issues are being raised prematurely in my mind.
2609	71	A	Statement-non-opinion	sd	And, uh, so I'm, I'm really quite, quite curious, how that would work, to have both, I mean, you know,
3659	58	B	Statement-non-opinion	sd	I figure it pays for the gas to take my cans over there.
2770	36	A	Appreciation	ba	Oh, that's exciting.
2433	33	A	Statement-non-opinion	sd	Instead of having that level, you know --
3373	80	B	Statement-opinion	sv	Um, but I was (( )) to say on Saturdays there is absolutely nothing
3270	51	A	Statement-opinion	sv	And it's a real big crunch, uh --
2653	3	A	Statement-non-opinion	sd	and she uses it to compose and print out letters.
3371	86	B	Uninterpretable	%	and, uh, -
3082	84	B	Statement-non-opinion	sd	-- and we thought that would be fun to kind of tie it in as a vacation time --
2959	160	A	Statement-opinion	sv	He probably just went right down into a tunnel.
3405	27	B	Statement-non-opinion	sd	Uh, and actually I had a pony there for twenty-five years,
2511	43	A	Statement-non-opinion	sd	we usually (( )) inspection time we find out there's something wrong with our car -
2755	75	A	Statement-non-opinion	sd	the owner of the chi-, of a, you know, a large child care facility now, -
2303	16	B	Statement-opinion	sv	So people think that, that, that they don't have, um, that, that it doesn't matter as much, whereas I think it's probably just the opposite is true.
3260	66	B	Statement-non-opinion	sd	and they, they just don't really have that same idea,
2756	91	A	Statement-non-opinion	sd	well, any time we had a school vacation or something like that we went down to Los Angeles,
3887	50	A	Acknowledge (Backchannel)	b	# Uh-huh. #
3638	75	A	Statement-non-opinion	sd	I forgot about that.
3681	61	A	Statement-non-opinion	sd	It's fun.
2229	130	B	Acknowledge (Backchannel)	b	Yeah,
2323	69	B	Statement-opinion	sv	I think there are other ways to fix it even though sometimes there aren't,
3646	83	A	Statement-opinion	sv	so I think that maybe that's effected it to some degree.
2820	28	B	Statement-non-opinion	sd	some stay for longer.
2365	81	A	Statement-non-opinion	sd	Actually, I, I don't know whether it made, -
4802	62	B	Hold before answer/agreement	^h	Uh, I had to stop here and think a second.
3239	26	B	Acknowledge (Backchannel)	b	Yeah.
3537	23	A	Statement-opinion	sv	And that, the government eventually will address too <laughter> just, you know, because it's out of control.
3062	35	B	Quotation	^q	Something is wrong here.
2648	128	B	Acknowledge (Backchannel)	b	Uh-huh.
2884	105	A	Statement-non-opinion	sd	we, we're together probably for, um, uh, very close for about six months before we got married.
3756	72	B	Statement-non-opinion	sd	and I think he charged me a hundred dollars to finish up.
4074	19	A	Acknowledge (Backchannel)	b	Uh-huh.
3406	13	B	Uninterpretable	%	Uh.
3363	65	A	Statement-non-opinion	sd	and then we hope for it,
4649	2	B	Statement-non-opinion	sd	Well I can profit by this because I'm due with my first in about three months.
4022	73	A	Uninterpretable	%	uh, well, it's, it's more than a loaded, -
2995	21	A	Acknowledge (Backchannel)	b	Uh-huh.
2354	119	A	Statement-non-opinion	sd	(( )) we read a lot,
2427	283	A	Statement-non-opinion	sd	and I couldn't find a nursery that had any of them left.
3097	56	B	Acknowledge (Backchannel)	b	Right.
2032	65	A	Uninterpretable	%	So because, -
2684	91	A	Statement-opinion	sv	And these people have not benefited from the stay there.
3013	154	B	Non-verbal	x	<laughter>.
3256	59	A	Agree/Accept	aa	Yeah,
3720	17	A	Acknowledge (Backchannel)	b	Yeah.
2630	155	A	Uninterpretable	%	and, um, -
2759	14	B	Statement-non-opinion	sd	and they get drug tested randomly.
3716	5	A	Statement-non-opinion	sd	but I can't seem to get them exactly right.
2821	87	B	Acknowledge (Backchannel)	b	uh-huh.
2262	42	B	Statement-opinion	sv	And I figure we're paying to take care of this toxic waste, no matter who does it.
2952	205	A	Acknowledge (Backchannel)	b	Yeah,
2832	86	B	Statement-non-opinion	sd	And we never know where it's going to flood.
3030	151	A	Uninterpretable	%	I, -
4334	21	A	Statement-opinion	sv	the type of music, at least to me, it's, uh, sounds like it's only sounds good at a high volumes
3349	62	B	Statement-non-opinion	sd	I bought a doll everywhere we went <laughter>,
2751	32	B	Wh-Question	qw	What do you presently drive?
3080	111	A	Uninterpretable	%	-- so. -
2445	56	B	Statement-non-opinion	sd	and we can just throw a couple of sleeping bags in the back of it.
3686	49	A	Statement-non-opinion	sd	Do you like the way it rides and stuff?
3065	8	B	Uninterpretable	%	and, -
4327	29	A	Statement-opinion	sv	Well, you know, uh, talking about the lawyers, you know what might very well do, uh, cause a, uh, a drop in the number of lawyers and things like that, is to set the fees for cases.
2957	40	B	Statement-opinion	sv	Oh, there's been so many,
2478	96	A	Statement-non-opinion	sd	and just we're essentially standby and problems, uh, all, all nights and weekends.
2499	234	A	Appreciation	ba	Oh, good grief.
3563	45	B	Uninterpretable	%	Well. -
3703	44	B	Statement-non-opinion	sd	That's a good Mexican place.
2012	37	A	Acknowledge (Backchannel)	b	uh-huh.
2952	118	B	Statement-non-opinion	sd	but I like to cook for other people.
3809	36	B	Agree/Accept	aa	Right.
3728	33	B	Uninterpretable	%	I, you know, <laughter>. -
2432	31	A	Statement-non-opinion	sd	Well, we buy things for the dorm, whatever the dorm needs, you know.
3426	137	A	Statement-non-opinion	sd	He loves it.
2967	36	B	Statement-opinion	sv	You can do that, but it is difficult if you, if you work or, you know, -
4032	10	B	Acknowledge (Backchannel)	b	Um, yeah,
2476	69	A	Uninterpretable	%	and, -
3570	58	B	Acknowledge (Backchannel)	b	Uh-huh.
3255	24	B	Statement-opinion	sv	And people don't want to give it up --
2713	4	B	Wh-Question	qw	What building do you work in?
3071	90	B	Acknowledge (Backchannel)	b	Yeah.
4004	54	B	Conventional-closing	fc	okay,
4358	4	B	Statement-non-opinion	sd	uh, live in an apartment complex.
2457	166	B	Acknowledge (Backchannel)	b	Oh, gosh,
2525	11	A	Acknowledge (Backchannel)	b	Uh-huh.
2969	156	B	Acknowledge (Backchannel)	b	Uh-huh.
3190	66	B	Appreciation	ba	Great,
3607	66	B	Statement-non-opinion	sd	I expect that's what it is,
2157	24	B	Repeat-phrase	b^m	Emmett Smith.
3628	19	A	Statement-non-opinion	sd	we went to California this last year --
3735	70	B	Statement-non-opinion	sd	I, I kind of like that,
2568	31	B	Hold before answer/agreement	^h	Um, <<pause>> oh gosh, I don-, I can't think off my head.
2028	81	A	Agree/Accept	aa	<Laughter> Yeah, uh,
3506	36	A	Declarative Yes-No-Question	qy^d	Oh, you do?
4856	43	A	Statement-opinion	sv	but I think it's something that needs to stay.
3068	57	A	Uninterpretable	%	they're not, th-, -
4384	68	B	Statement-opinion	sv	When you have like a Kindercare or something set up --
2304	83	B	Acknowledge (Backchannel)	b	Okay.
3353	58	B	Acknowledge (Backchannel)	b	Yeah,
2909	61	A	Statement-non-opinion	sd	and, and they're always finding drugs on, you know, on the most, um, <talking> <<person calls out in background>> innocent looking kind of -- -
2220	42	B	Statement-opinion	sv	They're just so relaxing.
2479	181	A	Appreciation	ba	# I bet,
2534	15	A	Statement-non-opinion	sd	Lots and lots of catnip,
2623	122	B	Acknowledge (Backchannel)	b	Yeah,
2228	59	A	Statement-non-opinion	sd	You know, and they just, they just wrote it right off.
2445	76	B	Statement-non-opinion	sd	they, yeah, they were.
3723	26	A	Statement-opinion	sv	And you can also, I mean you can, you know, pretty much do it privately if you had your own private, uh, sort of contest. You know --
3711	29	A	Statement-non-opinion	sd	We, we, each got to write little books.
2155	71	A	Statement-non-opinion	sd	well, my mom's, um, parents, they're both in their, in their, uh, eighties,
2278	68	A	Statement-non-opinion	sd	I pretty much pull for the Rangers though.
2450	1	A	Wh-Question	qw	So what kind of weather have you had in Dallas? <Laughter>.
2433	84	B	Acknowledge (Backchannel)	b	Yeah <laughter>.
2842	17	A	Statement-opinion	sv	I think a lot of families now, they probably don't spend enough time together.
2909	87	A	Statement-non-opinion	sd	Some of them, some of them moved back and forth,
2278	147	B	Uninterpretable	%	but. -
2300	31	A	Statement-non-opinion	sd	we have a, -
2441	85	A	Statement-opinion	sv	I mean, these --
2220	8	B	Summarize/reformulate	bf	Sort of easy listening because you like country
2648	63	A	Hold before answer/agreement	^h	I know it,
4078	13	A	Acknowledge (Backchannel)	b	Uh-huh.
4060	32	B	Uninterpretable	%	Yeah,
2826	137	A	Agree/Accept	aa	I think <laughter> that's true. #
2926	30	B	Statement-non-opinion	sd	She teaches in the city,
2650	99	A	Statement-opinion	sv	You know, they can get hurt a lot easier,
2627	118	A	Statement-non-opinion	sd	# And, # um, so I can make a pretty mean pie,
3280	62	B	Acknowledge (Backchannel)	b	Yeah,
2952	201	A	Agree/Accept	aa	Yeah.
3333	61	A	Statement-non-opinion	sd	She, when she was a young girl, she had a beautiful, beautiful cousin that lived in California,
4642	31	A	Acknowledge (Backchannel)	b	Huh.
